source_key,citation_count,citation_lines,citation_sections,citation_contexts,doi_or_url,metadata_provider,metadata_status,source_type,title,authors,year,venue,volume,issue,pages,publisher,is_referenced_by_count,metadata_notes,review_status,recommended_action,raw_entry
JaimungalNg2007,2,96; 294,Introducción | FPCA y aplicaciones financieras,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || La FPCA generaliza la PCA al caso en que las observaciones pertenecen a un espacio funcional. Su papel consiste en encontrar funciones ortonormales que ordenen la variación muestral y proporcionen puntajes escalares para cada fecha. En actas de conferencia, Jaimungal y Ng {JaimungalNg2007} proponen combinar VAR y FPCA para series financieras; Grith et al. {Grith2018} desarrollan métodos FPCA para derivadas de curvas multivariadas y los aplican a superficies financieras. Estas contribuciones muestran usos concretos de la reducción funcional de dimensión sobre objetos observados de manera discreta.",https://www.utstat.toronto.edu/sjaimung/papers/VAR-FPCA.pdf,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,"Jaimungal, S., \& Ng, E. K. H. (2007). Consistent Functional PCA for Financial Time-Series. \emph{Proceedings of the Fourth IASTED International Conference on Financial Engineering and Applications}, 103--108. \url{https://www.utstat.toronto.edu/sjaimung/papers/VAR-FPCA.pdf}"
JamesHastieSugar2000,1,286,Análisis de datos funcionales y representación mediante bases,"El análisis de datos funcionales extiende métodos estadísticos a observaciones que son curvas, superficies u otros objetos definidos sobre dominios continuos. Ramsay y Silverman {RamsaySilverman2005} establecen el marco clásico para representar funciones mediante bases, definir productos internos y estimar componentes principales funcionales. En contextos de datos escasos o irregulares, James et al. {JamesHastieSugar2000}, la tesis doctoral de Petrovich {Petrovich2018} y Li et al. {Li2020} discuten estrategias de reducción de dimensión y estimación de covarianza funcional.",10.1093/biomet/87.3.587,Crossref,verified,journal-article,Principal component models for sparse functional data,"James, G.",2000,Biometrika,87,3,587-602,Oxford University Press (OUP),345,,pending_substantive_review,retain,"James, G., Hastie, T., \& Sugar, C. (2000). Principal Component Models for Sparse Functional Data. \emph{Biometrika}, 87(3), 587--602. \url{https://doi.org/10.1093/biomet/87.3.587}"
Kearney2018,2,96; 296,Introducción | FPCA y aplicaciones financieras,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || En superficies de volatilidad FX, Kearney et al. {Kearney2018} y Shang y Kearney {ShangKearney2022} desarrollan enfoques funcionales arbitrados para representación y pronóstico. El informe técnico de Weaver et al. {Weaver2020} ofrece una aplicación institucional cercana y Tan et al. {Tan2024} proponen modelos funcionales de pronóstico de volatilidad. La presente tesis se diferencia en el énfasis de evaluación: la FPCA se considera exitosa descriptivamente si comprime e interpreta la superficie, mientras que cualquier afirmación predictiva se condiciona a superar PM bajo una pérdida fuera de muestra previamente definida.",10.1080/1351847x.2016.1271441,Crossref,verified,journal-article,Forecasting implied volatility in foreign exchange markets: a functional time series approach,"Kearney, Fearghal; Cummins, Mark; Murphy, Finbarr",2018,The European Journal of Finance,24,1,1-18,Informa UK Limited,13,,pending_substantive_review,retain,"Kearney, F., Cummins, M., \& Murphy, F. (2018). Forecasting Implied Volatility in Foreign Exchange Markets: A Functional Time Series Approach. \emph{The European Journal of Finance}, 24(1), 1--18. \url{https://doi.org/10.1080/1351847X.2016.1271441}"
Krzanowski1979,1,1135,FPCA rolling como diagnóstico de cambios de régimen,"La distancia reportada se calcula como \(d(P,Q)={P-Q}_F\), donde \(P\) y \(Q\) son los proyectores sobre las primeras tres direcciones local y global. La comparación geométrica de subespacios principales se relaciona con los ángulos entre subespacios estudiados por Davis y Kahan {DavisKahan1970} y con la comparación de espacios de componentes principales propuesta por Krzanowski {Krzanowski1979}. Un valor cero indica subespacios idénticos; valores mayores indican rotación. La medida compara envolventes de componentes y no signos individuales, por lo que no confunde una inversión arbitraria de signo con un cambio de estructura. Su escala se interpreta de manera relativa entre pares y ventanas, no como un test formal de quiebre.",10.1080/01621459.1979.10481674,Crossref,verified,journal-article,Between-Groups Comparison of Principal Components,"Krzanowski, W. J.",1979,Journal of the American Statistical Association,74,367,703-707,Informa UK Limited,421,,pending_substantive_review,retain,"Krzanowski, W. J. (1979). Between-Groups Comparison of Principal Components. \emph{Journal of the American Statistical Association}, 74(367), 703--707. \url{https://doi.org/10.1080/01621459.1979.10481674}"
Li2020,1,286,Análisis de datos funcionales y representación mediante bases,"El análisis de datos funcionales extiende métodos estadísticos a observaciones que son curvas, superficies u otros objetos definidos sobre dominios continuos. Ramsay y Silverman {RamsaySilverman2005} establecen el marco clásico para representar funciones mediante bases, definir productos internos y estimar componentes principales funcionales. En contextos de datos escasos o irregulares, James et al. {JamesHastieSugar2000}, la tesis doctoral de Petrovich {Petrovich2018} y Li et al. {Li2020} discuten estrategias de reducción de dimensión y estimación de covarianza funcional.",10.1002/sta4.245,Crossref,verified,journal-article,Fast covariance estimation for multivariate sparse functional data,"Li, Cai; Xiao, Luo; Luo, Sheng",2020,Stat,9,1,e245,Wiley,40,,pending_substantive_review,retain,"Li, C., Xiao, L., \& Luo, S. (2020). Fast Covariance Estimation for Multivariate Sparse Functional Data. \emph{Stat}, 9(1), e245. \url{https://doi.org/10.1002/sta4.245}"
Liang2022,1,302,"Series funcionales, ARH y regresión no paramétrica","Ferraty y Vieu {FerratyVieu2006} proporcionan fundamentos para regresión funcional no paramétrica. Mas y Pumo {MasPumo2009} estudian regresión funcional con derivadas, y Ruiz-Medina et al. {RuizMedina2019} proponen regresión múltiple dinámica en espacios funcionales con regresores kernel y errores ARH(1). La especificación KernelARH de esta tesis operacionaliza esa idea en el espacio finito de puntajes: estima una media condicional no lineal y añade dependencia autorregresiva en los residuos. Liang et al. {Liang2022} muestran, en otra aplicación financiera, el alcance del FDA para medir y analizar volatilidad de alta frecuencia.",10.3390/math10071140,Crossref,verified,journal-article,Measurement and Analysis of High Frequency Assert Volatility Based on Functional Data Analysis,"Liang, Zhenjie; Weng, Futian; Ma, Yuanting; Xu, Yan; Zhu, Miao; Yang, Cai",2022,Mathematics,10,7,1140,MDPI AG,4,title differs or is absent: Measurement and Analysis of High Frequency Assert Volatility Based on Functional Data Analysis,pending_substantive_review,inspect_metadata_difference,"Liang, Z., Weng, F., Ma, Y., Xu, Y., Zhu, M., \& Yang, C. (2022). Measurement and Analysis of High Frequency Asset Volatility Based on Functional Data Analysis. \emph{Mathematics}, 10(7), 1140. \url{https://doi.org/10.3390/math10071140}"
MasPumo2009,1,302,"Series funcionales, ARH y regresión no paramétrica","Ferraty y Vieu {FerratyVieu2006} proporcionan fundamentos para regresión funcional no paramétrica. Mas y Pumo {MasPumo2009} estudian regresión funcional con derivadas, y Ruiz-Medina et al. {RuizMedina2019} proponen regresión múltiple dinámica en espacios funcionales con regresores kernel y errores ARH(1). La especificación KernelARH de esta tesis operacionaliza esa idea en el espacio finito de puntajes: estima una media condicional no lineal y añade dependencia autorregresiva en los residuos. Liang et al. {Liang2022} muestran, en otra aplicación financiera, el alcance del FDA para medir y analizar volatilidad de alta frecuencia.",10.1080/10485250802401046,Crossref,verified,journal-article,Functional linear regression with derivatives,"Mas, André; Pumo, Besnik",2009,Journal of Nonparametric Statistics,21,1,19-40,Informa UK Limited,32,,pending_substantive_review,retain,"Mas, A., \& Pumo, B. (2009). Functional Linear Regression with Derivatives. \emph{Journal of Nonparametric Statistics}, 21(1), 19--40. \url{https://doi.org/10.1080/10485250802401046}"
Nadaraya1964,1,687,KernelARH,"La media condicional kernel empleada es una extensión multivariada del estimador de regresión de Nadaraya {Nadaraya1964}. El ancho de banda controla el compromiso entre localidad y estabilidad y constituye una parte central de la regresión kernel {Tsybakov1988}: un valor pequeño concentra el pronóstico en estados históricos muy próximos, pero puede dejar pocos vecinos efectivos; un valor grande aproxima una media más global. La implementación selecciona el ancho de banda únicamente con datos de entrenamiento. Si el denominador de los pesos es numéricamente insuficiente, se aplica una regla de respaldo estable definida en el script, evitando que una ventana produzca un pronóstico no finito.",10.1137/1109020,Crossref,verified,journal-article,On Estimating Regression,"Nadaraya, E. A.",1964,Theory of Probability & Its Applications,9,1,141-142,Society for Industrial & Applied Mathematics (SIAM),2270,,pending_substantive_review,retain,"Nadaraya, E. A. (1964). On Estimating Regression. \emph{Theory of Probability \& Its Applications}, 9(1), 141--142. \url{https://doi.org/10.1137/1109020}"
Petrovich2018,1,286,Análisis de datos funcionales y representación mediante bases,"El análisis de datos funcionales extiende métodos estadísticos a observaciones que son curvas, superficies u otros objetos definidos sobre dominios continuos. Ramsay y Silverman {RamsaySilverman2005} establecen el marco clásico para representar funciones mediante bases, definir productos internos y estimar componentes principales funcionales. En contextos de datos escasos o irregulares, James et al. {JamesHastieSugar2000}, la tesis doctoral de Petrovich {Petrovich2018} y Li et al. {Li2020} discuten estrategias de reducción de dimensión y estimación de covarianza funcional.",https://etda.libraries.psu.edu/files/final_submissions/17278,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,"Petrovich, J. (2018). \emph{Functional Principal Component Analysis and Sparse Functional Regression}. Doctoral dissertation, Pennsylvania State University. \url{https://etda.libraries.psu.edu/files/final_submissions/17278}"
RamsaySilverman2005,2,94; 286,Introducción | Análisis de datos funcionales y representación mediante bases,"Los pares latinoamericanos amplían un campo empírico en el que la evidencia publicada es menos abundante que para monedas desarrolladas. La base permite compararlos sobre una malla homogénea, pero no mide directamente liquidez, intervención cambiaria ni shocks macrofinancieros; por ello, la heterogeneidad entre pares se analiza de manera descriptiva y no se atribuye a esos mecanismos sin evidencia adicional. Los modelos paramétricos clásicos, como Heston {Heston1993} o SABR {Hagan2002}, proporcionan estructuras interpretables y compatibles con la práctica financiera, pero pueden ser rígidos cuando se busca capturar patrones empíricos de superficies observadas en mallas completas. En este contexto, el análisis de datos funcionales (FDA) ofrece una alternativa natural: tratar cada superficie || El análisis de datos funcionales extiende métodos estadísticos a observaciones que son curvas, superficies u otros objetos definidos sobre dominios continuos. Ramsay y Silverman {RamsaySilverman2005} establecen el marco clásico para representar funciones mediante bases, definir productos internos y estimar componentes principales funcionales. En contextos de datos escasos o irregulares, James et al. {JamesHastieSugar2000}, la tesis doctoral de Petrovich {Petrovich2018} y Li et al. {Li2020} discuten estrategias de reducción de dimensión y estimación de covarianza funcional.",10.1007/b98888,Crossref,verified,book,Functional Data Analysis,"Ramsay, J. O.; Silverman, B. W.",2005,Springer Series in Statistics,,,,Springer New York,2784,,pending_substantive_review,retain,"Ramsay, J. O., \& Silverman, B. W. (2005). \emph{Functional Data Analysis} (2nd ed.). Springer. \url{https://doi.org/10.1007/b98888}"
ReissXu2020,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",10.1016/j.jspi.2019.10.006,Crossref,verified,journal-article,Tensor product splines and functional principal components,"Reiss, Philip T.; Xu, Meng",2020,Journal of Statistical Planning and Inference,208,,1-12,Elsevier BV,6,,pending_substantive_review,retain,"Reiss, P. T., \& Xu, M. (2020). Tensor product splines and functional principal components. \emph{Journal of Statistical Planning and Inference}, 208, 1--12. \url{https://doi.org/10.1016/j.jspi.2019.10.006}"
ReiswichWystup2010,2,178; 250,"Cotización de opciones sobre divisas | Construcción práctica desde ATM, risk reversal y butterfly","En la práctica, las mesas de opciones FX suelen cotizar volatilidades en coordenadas de delta y tenor, en lugar de publicar una malla completa de strikes. Esta convención facilita comparar instrumentos cuya exposición cambia con el nivel del spot. Sin embargo, existen variantes de delta --spot o forward, ajustada o no por prima-- y distintas definiciones del punto ATM {ReiswichWystup2010}. La base utilizada en esta tesis ya contiene la malla final estandarizada por Bloomberg; por ello, el análisis estadístico toma los niveles de delta publicados como coordenadas de la superficie y no intenta reestimar la convención de cada cotización primaria. || Estas identidades corresponden a la reconstrucción algebraica desde cotizaciones de volatilidad ATM, risk reversal y butterfly. No eliminan la necesidad de fijar previamente las convenciones de delta, prima y ATM del mercado, cuya diversidad en opciones FX es documentada por Reiswich y Wystup {ReiswichWystup2010}.",10.3905/jod.2010.18.2.058,Crossref,verified,journal-article,A Guide to FX Options Quoting Conventions,"Reiswich, Dimitri; Wystup, Uwe",2010,The Journal of Derivatives,18,2,58-68,Pageant Media US,43,,pending_substantive_review,retain,"Reiswich, D., \& Wystup, U. (2010). A Guide to FX Options Quoting Conventions. \emph{The Journal of Derivatives}, 18(2), 58--68. \url{https://doi.org/10.3905/jod.2010.18.2.058}"
ReusCarrascoPincheira2020,1,282,Superficies de volatilidad y factores comunes,"La evidencia disponible se concentra en mercados desarrollados, índices accionarios y pares FX líquidos. Existen, sin embargo, aplicaciones con opciones sobre BRL, MXN y CLP: Reus et al. {ReusCarrascoPincheira2020} estudian la información predictiva de la sonrisa para esas tres monedas latinoamericanas, además de cuatro monedas desarrolladas. El contexto de mercado también es heterogéneo: la encuesta trienal del BIS registra una participación creciente, pero concentrada, de monedas emergentes en el volumen FX mundial {BIS2025}. Los pares latinoamericanos de esta tesis amplían ese ámbito empírico mediante una malla publicada homogénea. La liquidez no se mide directamente y, por ello, no se utiliza como explicación causal de diferencias entre pares.",10.1016/j.frl.2019.07.024,Crossref,verified,journal-article,Do it with a smile: Forecasting volatility with currency options,"Reus, Lorenzo; Carrasco, José A.; Pincheira, Pablo",2020,Finance Research Letters,34,,101251,Elsevier BV,1,,pending_substantive_review,retain,"Reus, L., Carrasco, J. A., \& Pincheira, P. (2020). Do It with a Smile: Forecasting Volatility with Currency Options. \emph{Finance Research Letters}, 34, 101251. \url{https://doi.org/10.1016/j.frl.2019.07.024}"
RuizMedina2019,1,302,"Series funcionales, ARH y regresión no paramétrica","Ferraty y Vieu {FerratyVieu2006} proporcionan fundamentos para regresión funcional no paramétrica. Mas y Pumo {MasPumo2009} estudian regresión funcional con derivadas, y Ruiz-Medina et al. {RuizMedina2019} proponen regresión múltiple dinámica en espacios funcionales con regresores kernel y errores ARH(1). La especificación KernelARH de esta tesis operacionaliza esa idea en el espacio finito de puntajes: estima una media condicional no lineal y añade dependencia autorregresiva en los residuos. Liang et al. {Liang2022} muestran, en otra aplicación financiera, el alcance del FDA para medir y analizar volatilidad de alta frecuencia.",10.1007/s11749-018-0614-2,Crossref,verified,journal-article,"Dynamical multiple regression in function spaces, under kernel regressors, with ARH(1) errors","Ruiz-Medina, M. D.; Miranda, D.; Espejo, R. M.",2019,TEST,28,3,943-968,Springer Science and Business Media LLC,2,,pending_substantive_review,retain,"Ruiz-Medina, M. D., Miranda, D., \& Espejo, R. M. (2019). Dynamical Multiple Regression in Function Spaces, Under Kernel Regressors, with ARH(1) Errors. \emph{TEST}, 28(3), 943--968. \url{https://doi.org/10.1007/s11749-018-0614-2}"
Ruppert2003,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",10.1017/cbo9780511755453,Crossref,verified,monograph,Semiparametric Regression,"Ruppert, David; Wand, M. P.; Carroll, R. J.",2003,,,,,Cambridge University Press,1996,,pending_substantive_review,retain,"Ruppert, D., Wand, M. P., \& Carroll, R. J. (2003). \emph{Semiparametric Regression}. Cambridge University Press. \url{https://doi.org/10.1017/CBO9780511755453}"
ShangKearney2022,3,96; 296; 308,Introducción | FPCA y aplicaciones financieras | Evaluación predictiva y benchmark de persistencia,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || En superficies de volatilidad FX, Kearney et al. {Kearney2018} y Shang y Kearney {ShangKearney2022} desarrollan enfoques funcionales arbitrados para representación y pronóstico. El informe técnico de Weaver et al. {Weaver2020} ofrece una aplicación institucional cercana y Tan et al. {Tan2024} proponen modelos funcionales de pronóstico de volatilidad. La presente tesis se diferencia en el énfasis de evaluación: la FPCA se considera exitosa descriptivamente si comprime e interpreta la superficie, mientras que cualquier afirmación predictiva se condiciona a superar PM bajo una pérdida fuera de muestra previamente definida. || La persistencia se incluye como referencia principal porque copiar la última observación constituye la predicción mínima que un modelo dinámico debe mejorar. En superficies FX, Chalamandaris y Tsekrekos {ChalamandarisTsekrekos2010} comparan sus modelos contra una caminata aleatoria y describen este tipo de referencia como difícil de superar a horizontes cortos; Shang y Kearney {ShangKearney2022} también evalúan métodos funcionales dinámicos contra benchmarks establecidos. Su simplicidad no vuelve irrelevante a PM: si el objeto cambia lentamente, una regla sin parámetros puede evitar error de estimación. Además, PM conserva la malla cruda, mientras que PA y los modelos de puntajes comparten el costo de la representación funcional. Esta diferencia permite identificar si una eventual pérdida ",10.1016/j.ijforecast.2021.07.011,Crossref,verified,journal-article,Dynamic functional time-series forecasts of foreign exchange implied volatility surfaces,"Shang, Han Lin; Kearney, Fearghal",2022,International Journal of Forecasting,38,3,1025-1049,Elsevier BV,19,,pending_substantive_review,retain,"Shang, H. L., \& Kearney, F. (2022). Dynamic Functional Time-Series Forecasts of Foreign Exchange Implied Volatility Surfaces. \emph{International Journal of Forecasting}, 38(3), 1025--1049. \url{https://doi.org/10.1016/j.ijforecast.2021.07.011}"
Tan2024,2,96; 296,Introducción | FPCA y aplicaciones financieras,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || En superficies de volatilidad FX, Kearney et al. {Kearney2018} y Shang y Kearney {ShangKearney2022} desarrollan enfoques funcionales arbitrados para representación y pronóstico. El informe técnico de Weaver et al. {Weaver2020} ofrece una aplicación institucional cercana y Tan et al. {Tan2024} proponen modelos funcionales de pronóstico de volatilidad. La presente tesis se diferencia en el énfasis de evaluación: la FPCA se considera exitosa descriptivamente si comprime e interpreta la superficie, mientras que cualquier afirmación predictiva se condiciona a superar PM bajo una pérdida fuera de muestra previamente definida.",10.1002/for.3170,Crossref,verified,journal-article,Functional volatility forecasting,"Tan, Yingwen; Tan, Zhensi; Tang, Yinfen; Zhang, Zhiyuan",2024,Journal of Forecasting,43,8,3009-3034,Wiley,5,,pending_substantive_review,retain,"Tan, Y., Tan, Z., Tang, Y., \& Zhang, Z. (2024). Functional Volatility Forecasting. \emph{Journal of Forecasting}, 43(8), 3009--3034. \url{https://doi.org/10.1002/for.3170}"
Tashman2000,1,760,Diseño de backtest y tuning,"La evaluación por orígenes móviles sigue la lógica de los tests fuera de muestra discutida por Tashman {Tashman2000}: cada origen separa el periodo de ajuste del valor futuro evaluado, reestima los modelos y genera múltiples errores por horizonte. Este diseño evita que una realización futura entre en el ajuste de su propio pronóstico. Como se precisó anteriormente, la selección global de \(W\) y \(K_0\) resume esos mismos errores históricos y no equivale a una validación anidada con un bloque final reservado.",10.1016/s0169-2070(00)00065-0,Crossref,verified,journal-article,Out-of-sample tests of forecasting accuracy: an analysis and review,"Tashman, Leonard J.",2000,International Journal of Forecasting,16,4,437-450,Elsevier BV,761,,pending_substantive_review,retain,"Tashman, L. J. (2000). Out-of-Sample Tests of Forecasting Accuracy: An Analysis and Review. \emph{International Journal of Forecasting}, 16(4), 437--450. \url{https://doi.org/10.1016/S0169-2070(00)00065-0}"
Tsybakov1988,1,687,KernelARH,"La media condicional kernel empleada es una extensión multivariada del estimador de regresión de Nadaraya {Nadaraya1964}. El ancho de banda controla el compromiso entre localidad y estabilidad y constituye una parte central de la regresión kernel {Tsybakov1988}: un valor pequeño concentra el pronóstico en estados históricos muy próximos, pero puede dejar pocos vecinos efectivos; un valor grande aproxima una media más global. La implementación selecciona el ancho de banda únicamente con datos de entrenamiento. Si el denominador de los pesos es numéricamente insuficiente, se aplica una regla de respaldo estable definida en el script, evitando que una ventana produzca un pronóstico no finito.",10.1137/1132018,Crossref,verified,journal-article,On the Choice of the Bandwidth in Kernel Nonparametric Regression,"Tsybakov, A. B.",1988,Theory of Probability & Its Applications,32,1,142-148,Society for Industrial & Applied Mathematics (SIAM),8,,pending_substantive_review,retain,"Tsybakov, A. B. (1988). On the Choice of the Bandwidth in Kernel Nonparametric Regression. \emph{Theory of Probability \& Its Applications}, 32(1), 142--148. \url{https://doi.org/10.1137/1132018}"
Weaver2020,2,96; 296,Introducción | FPCA y aplicaciones financieras,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || En superficies de volatilidad FX, Kearney et al. {Kearney2018} y Shang y Kearney {ShangKearney2022} desarrollan enfoques funcionales arbitrados para representación y pronóstico. El informe técnico de Weaver et al. {Weaver2020} ofrece una aplicación institucional cercana y Tan et al. {Tan2024} proponen modelos funcionales de pronóstico de volatilidad. La presente tesis se diferencia en el énfasis de evaluación: la FPCA se considera exitosa descriptivamente si comprime e interpreta la superficie, mientras que cualquier afirmación predictiva se condiciona a superar PM bajo una pérdida fuera de muestra previamente definida.",https://investments.metlife.com/content/dam/metlifecom/us/investments/insights/research-topics/macro-strategy/pdf/MIM_Functional-PCA-Implied-Volatility-Surface-Prediction_051920.pdf,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,"Weaver, C., Perryman, B., Jiang, J., Chien, A., Meoded, E., \& Kirk, A. (2020). \emph{Functional PCA for Implied Volatility Surface Prediction}. Macro Strategy report, MetLife Investment Management. \href{https://investments.metlife.com/content/dam/metlifecom/us/investments/insights/research-topics/macro-strategy/pdf/MIM_Functional-PCA-Implied-Volatility-Surface-Prediction_051920.pdf}{Informe institucional}"
Wood2017,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",10.1201/9781315370279,Crossref,verified,book,Generalized Additive Models,"Wood, Simon N.",2017,,,,,Chapman and Hall/CRC,6843,,pending_substantive_review,retain,"Wood, S. N. (2017). \emph{Generalized Additive Models: An Introduction with R}. Chapman \& Hall/CRC. \url{https://doi.org/10.1201/9781315370279}"
